address	pmid	latitude	longitude
European Centre for Environment and Human Health, Penryn Campus, Penryn TR10 9FE, UK.	38717941	50.17055	-5.125645
Department of Biology, Carleton University, Ottawa, ON K1S 5B6, Canada.	38709811	45.38797	-75.69841
Department of Biology, University of Ottawa, Ottawa, ON K1N 6N5, Canada.	38709811	45.42071	-75.68148
Department of Biology, McGill University, Montreal, QC H3A 1B1, Canada.	38709811	45.50262	-73.58101
Institute of Ecology and Evolution, University of Bern, Bern, Switzerland.	38709811	46.94800	 7.448130
Division of Theoretical Ecology and Evolution, Swiss Institute of Bioinformatics, Lausanne, Switzerland.	38709811	46.51963	 6.632128
Evolutionary Dynamics Group, Gulbenkian Science Institute, Oeiras, Portugal.	38709811	38.69741	-9.308310
Department of Ecology, Environment and Plant Sciences, Science for Life Laboratory, Stockholm University, Stockholm, Sweden.	38709782	59.33279	18.06449
Department of Immunology, Genetics and Pathology, Uppsala Genome Center, Science for Life Laboratory, Uppsala University, Uppsala, Sweden.	38709782	59.85813	17.64462
Department of Medical Biochemistry and Microbiology, Uppsala University, National Bioinformatics Infrastructure Sweden (NBIS), Science for Life Laboratory, Uppsala University, Uppsala, Sweden.	38709782	59.85813	17.64462
Department of Genetics, University of Granada, Granada, Spain.	38709782	37.17648	 -3.597937
Department of Plant Biology and Ecology, University of Seville, Seville, Spain.	38709782	37.38264	 -5.996295
Department of Biology, Duke University, Box 90338, Durham, NC 27708-0338, USA.	38696269	35.99931	-78.934772
Rudolf Peierls Centre for Theoretical Physics, University of Oxford, Oxford, UK.	38693911	51.75463	-1.241153
Faculty of Environment, Science and Economy, University of Exeter, Exeter, UK.	38693911	50.72161	-3.510171
Department of Biological Sciences, University of Bergen, Bergen, Norway.	38679468	60.38805	 5.331858
Faculty of Biological Sciences, Friedrich Schiller University, Institute for Zoology and Evolutionary Research, Jena, Germany.	38679468	 50.92696	 11.58696
Department of Ecology, Evolution and Behavior, Alexander Silberman Institute of Life Sciences, The Hebrew University of Jerusalem, 9190401 Jerusalem, Israel.	38676945	-33.46501	-70.71270
Institut für Populationsgenetik, University of Veterinary Medicine, Veterinärplatz 1, Vienna 1210, Austria.	38667829	 48.25444	 16.43179
Vienna Graduate School of Population Genetics, Vienna, Austria.	38667829	48.20921	16.372778
Centre for Biological Diversity, School of Biology, University of St Andrews, Fife KY16 9TH, UK.	38667829	56.33758	-2.791642
Groningen Institute of Archaeology, University of Groningen, Groningen, The Netherlands.	38662789	53.21506	 6.554810
Smurfit Institute of Genetics, Trinity College Dublin, Dublin D02 PN40, Ireland.	38662789	53.34409	 -6.258739
Palaeogenetics Group, Institute of Organismic and Molecular Evolution (iOME), Johannes Gutenberg-University Mainz, 55099 Mainz, Germany.	38662789	49.99511	  8.267389
Key Laboratory of Animal Genetics, Breeding and Reproduction of Shaanxi Province, College of Animal Science and Technology, Northwest A&F University, Yangling 712100, China.	38662789	34.25667	108.078330
Institute for Prehistory and Protohistory, University of Cologne, 50931 Cologne, Germany.	38662789	50.93272	6.916607
LEIZA, Archaeological Research Centre and Museum for Human Behavioural Evolution, Schloss Monrepos, D - 56567 Neuwied, Germany.	38662789	50.48331	7.465595
Animal Breeding and Genomics, Wageningen University and Research, Wageningen, The Netherlands.	38662789	51.98507	5.664010
Laboratory of Genetics, Wageningen University & Research, the Netherlands.	38652808	51.98507	  5.66401
Department of Veterinary Sciences, Faculty of Agriculture, University of Miyazaki, Miyazaki, Japan.	38649162	31.90772	131.42020
Mouse Genomics Resource Laboratory, National Institute of Genetics, Mishima, Japan.	38649162	36.65523	139.27149
Department of Genetics, SOKENDAI (The Graduate University for Advanced Studies), Shizuoka, Japan.	38649162	36.65523	139.2715
Curatorial Division, Museum of Natural and Environmental History, Shizuoka, Japan.	38649162	34.95931	138.4366
Present address: College of Bioresource Sciences, Nihon University, Fujisawa, Japan.	38649162	35.38130	139.4704
Comparative Genomics Laboratory, National Institute of Genetics, Shizuoka, Japan.	38649162	36.65523	139.2715
Department of Applied Biological Chemistry, Graduate School of Agricultural and Life Sciences, The University of Tokyo, Tokyo, Japan.	38649162	35.68946	139.6917
Wildlife Research Center, Kyoto University, Kyoto, Japan.	38649162	35.03344	135.7260
Present address: Biosphere Informatics Laboratory, Department of Social Informatics, Graduate School of Informatics, Kyoto, Japan.	38649162	36.655227	139.2714950
Livestock and Poultry Research Centre, College of Basic and Applied Sciences, University of Ghana, Accra, Ghana.	38649162	 5.554723	 -0.2209723
Department of Animal Science, College of Basic and Applied Sciences, University of Ghana, Accra, Ghana.	38649162	 5.554723	 -0.2209723
Theoretical Biology and Biophysics, Los Alamos National Laboratory, Los Alamos NM, USA.	38648521	35.88194	-106.30772
